Name,Age,Ao5 / Mo3,Best,Solve 1,Solve 2,Solve 3,Solve 4,Solve 5,Link,Comment
Shawn Boucké,<40,54.39,49.44,49.44,54.86,50.68,57.63,59.27,https://www.facebook.com/ShawnBoucke/videos/3241082209236873/,
Go-ho Choi,<40,54.81,42.38,1:02.97,54.01,42.38,56.79,53.62,https://www.facebook.com/events/538096063773916/permalink/542382946678561/,
Michael George,40+,1:00.32,50.50,1:02.27,56.95,1:01.75,1:03.98,50.50,https://www.facebook.com/events/538096063773916/permalink/541862546730601/,
Ciro Vignotto,50+,1:03.64,1:00.35,1:08.38,1:07.74,1:00.35,1:01.88,1:01.31,https://www.facebook.com/events/538096063773916/permalink/539566816960174/,
Jeremy Duehring,40+,1:13.15,54.71,1:11.54,1:08.64,54.71,1:19.87,1:19.27,https://www.facebook.com/events/538096063773916/permalink/540343283549194/,
Geoff Hartnell,40+,1:16.17,1:09.94,1:09.94,1:14.18,1:20.13,1:14.19,1:23.09,https://www.facebook.com/events/538096063773916/permalink/542677353315787/,
Pete Lee,<40,1:19.82,1:17.00,1:19.31,1:21.22,1:22.71,1:17.00,1:18.95,https://www.facebook.com/events/538096063773916/permalink/540558113527711/,
Aaron Cumes,40+,1:22.15,1:14.89,1:20.95,1:21.26,1:29.01,1:14.89,1:24.25,https://www.facebook.com/events/538096063773916/permalink/542443173339205/,
Thierry Boisivon,40+,1:29.75,1:12.69,1:23.09,1:12.69,1:38.72,1:27.44,1:55.72,https://www.facebook.com/events/538096063773916/permalink/541927596724096/,
Daniel Smith,50+,1:37.01,1:34.59,1:42.17,1:37.90,1:34.59,1:37.68,1:35.44,https://www.facebook.com/events/538096063773916/permalink/542802749969914/,
