Name,Age,WCA ID,Solve 1,Solve 2,Solve 3,Solve 4,Solve 5,Best,Average,Link,Comment
Phil Yu,<40,2010YUPH01,15.07,13.60,15.00,21.24,13.84,13.60,14.64,https://www.facebook.com/events/903549840109576/permalink/904463093351584,:(
Alex Friedman,<40,2016FRIE06,22.89,24.15,26.65,24.15,23.18,22.89,23.83,https://www.facebook.com/events/903549840109576/permalink/907939493003944,
Michael George,40+,2015GEOR02,23.49,23.47,28.48,21.24,DNF,21.24,25.15,https://www.facebook.com/events/903549840109576/permalink/906659596465267,
Geoff Hartnell,40+,2017HART06,35.25,33.15,26.13,54.33,26.61,26.13,31.67,https://www.facebook.com/events/903549840109576/permalink/907264923071401,
Thierry Boisivon,40+,2011BOIS01,38.63,34.24,43.14,40.59,33.07,33.07,37.82,https://www.facebook.com/events/903549840109576/permalink/908184629646097,
Ed Connell,<40,2018CONN04,43.18,44.82,37.11,43.93,38.31,37.11,41.81,https://www.facebook.com/events/903549840109576/permalink/906641523133741,
Andy Nicholls,40+,2015NICH04,1:02.54,57.19,34.47,51.29,42.46,34.47,50.31,https://www.facebook.com/events/903549840109576/permalink/904346860029874,
Pete Lee,<40,2018LEEP04,56.61,59.91,1:11.89,57.36,1:15.61,56.61,1:03.05,https://www.facebook.com/events/903549840109576/permalink/906717679792792,
Aaron Cumes,40+,2018CUME02,1:55.96,1:41.14,1:40.53,DNS,DNS,1:40.53,1:45.87,https://www.facebook.com/events/903549840109576/permalink/903625773435316,
Chris Thames,<40,2019THAM05,1:37.29,2:26.79,1:43.65,DNS,DNS,1:37.29,1:55.91,https://www.facebook.com/events/903549840109576/permalink/907439353053958,First solve felt good then it was garbage from there
