Name,Age,WCA ID,Solve 1,Solve 2,Solve 3,Solve 4,Solve 5,Best,Average,Link,Comment
Enrymar Cisneros,<40,2013CISN01,12.75,14.81,16.13,13.95,12.30,12.30,13.84,https://www.facebook.com/events/563573978559176/permalink/571857184397522,
Daniel Houghton,40+,2016HOUG03,14.72,13.62,14.36,20.84,15.18,13.62,14.75,https://www.facebook.com/events/563573978559176/permalink/570596907856883,
Ed Connell,<40,2018CONN04,23.08,16.84,16.55,16.30,15.84,15.84,16.56,https://www.facebook.com/events/563573978559176/permalink/571770054406235,
Toby Chamberlain,40+,2022CHAM03,18.35,17.34,27.28,17.01,16.04,16.04,17.57,https://www.facebook.com/520891933/videos/832090321195832,
Chris Looney,<40,2022LOON02,17.23,16.42,21.55,17.80,19.36,16.42,18.13,https://www.facebook.com/chris.looney/videos/1208135349913371,
Yi-Wei Chen,40+,,18.67,20.11,17.94,19.34,16.51,16.51,18.65,https://www.facebook.com/events/563573978559176/permalink/568903778026196,
Glyn Brown,40+,,17.22,20.34,24.48,20.84,23.37,17.22,21.52,https://www.facebook.com/events/563573978559176/permalink/570651567851417,
Mark Cordell,40+,2022CORD03,23.41,19.55,26.49,21.63,22.59,19.55,22.54,https://www.facebook.com/events/563573978559176/permalink/571968964386344,
Dan Smith,50+,2018SMIT42,23.40,25.59,21.34,25.27,22.82,21.34,23.83,https://www.facebook.com/events/563573978559176/permalink/571258567790717,
Mickey Doyle,40+,2021DOYL02,23.75,25.82,24.29,26.71,28.90,23.75,25.61,https://www.facebook.com/events/563573978559176/permalink/571397841110123,
