Name,Age,WCA ID,Solve 1 2,Solve 2 2,Solve 3 2,Solve 4 2,Solve 5 2,Best,Average,Link,Comment
Konsta Jukka,40+,2008JUKK01,10.90,11.24,11.99,12.22,9.66,9.66,11.38,https://www.facebook.com/events/846491475035716/permalink/857526953932168,
Enrymar Cisneros,40+,2013CISN01,12.51,14.28,13.25,17.04,16.24,12.51,14.59,https://www.facebook.com/events/846491475035716/permalink/857708660580664,
Daniel Houghton,40+,2016HOUG03,15.36,15.25,15.74,15.37,DNS,15.25,15.49,https://www.facebook.com/events/846491475035716/permalink/857510393933824,
Shen Flindell,50+,2023FLIN02,15.10,17.90,13.14,15.71,17.19,13.14,16.00,https://www.facebook.com/events/846491475035716/permalink/856919733992890,
Toby Chamberlain,50+,2022CHAM03,15.08,16.23,15.80,16.33,17.97,15.08,16.09,https://www.facebook.com/events/846491475035716/permalink/856799114004952,
Paweł Zok,40+,2024ZOKP01,18.12,17.30,19.92,20.65,19.55,17.30,19.20,https://www.facebook.com/events/846491475035716/permalink/850422741309256,
Elodie,40+,,26.04,27.87,27.54,28.45,23.98,23.98,27.15,https://www.facebook.com/events/846491475035716/permalink/850529961298534,The camera angle is not optimal. This is my first try!
Lisa Kucala,60+,2019KUCA01,25.42,27.08,29.17,31.12,22.61,22.61,27.22,https://www.facebook.com/events/846491475035716/permalink/855073107510886,
Kristina Lim,50+,2022LIMK02,33.01,31.88,34.38,30.23,40.34,30.23,33.09,https://www.facebook.com/events/846491475035716/permalink/857509747267222,
Michael Orger,50+,2024ORGE01,26.86,35.96,42.10,40.03,30.10,26.86,35.36,https://www.facebook.com/events/846491475035716/permalink/849946111356919,
Joe Kucala,60+,2022KUCA01,41.51,40.89,38.59,38.54,53.55,38.54,40.33,https://www.facebook.com/events/846491475035716/permalink/855027037515493,
